SITIO,COORD Y,COORD X,ALT,Riqueza spp,Bio1,Bio2,Bio3,Bio15
UME,19.54932,-101.26199,2120,2,16.99157,15.8448,66.56013,97.0428
ATE,19.61827,-101.1997,2270,3,15.73648,15.10199,66.71093,97.29178
REM,19.619122,-101.340027,2590,5,13.90051,15.00214,67.34956,98.57998
NOB,19.656323,-101.2947,1992,1,17.50731,15.88633,65.45771,98.67704
IRA,19.637225,-101.392656,2390,3,15.20347,15.40194,66.41768,98.08684
CBU,19.439983,-101.508971,3100,2,11.70824,13.87232,68.1945,96.58125
SJT,19.651187,-101.1155,2200,2,16.97717,15.11749,64.66496,97.63831
SMM,19.607332,-101.147835,2310,3,15.29656,15.18094,66.8374,98.32265
CHI,19.754739,-101.269915,2440,3,15.03813,15.06503,65.70284,97.43996
BSJ,19.718539,-101.619955,2231,3,15.59948,16.24997,66.8092,101.56248
SJR,19.870825,-100.775862,2080,3,16.6725,15.07498,64.57742,102.03483
COR,19.894914,-100.868014,1943,2,17.82193,16.22336,65.67907,105.74081
CAG,19.634111,-101.348385,2480,5,14.17208,15.03174,66.43027,97.46492
CAR,19.693543,-100.912062,2430,1,15.07745,14.56653,65.8817,98.31721